x,y,species cloglog values
1.0,1.0,0.43793625
2.0,2.0,0.0030835369
3.0,3.0,0.7313401
4.0,4.0,0.7509469
5.0,5.0,0.0017477664
6.0,6.0,0.010357584
7.0,7.0,0.22618611
8.0,8.0,0.49500877
9.0,9.0,0.7585568
10.0,10.0,0.56333005
11.0,11.0,0.031393148
12.0,12.0,0.009899483
13.0,13.0,0.011177442
14.0,14.0,0.5285406
15.0,15.0,0.0017184619
16.0,16.0,0.14757483
17.0,17.0,0.7551706
18.0,18.0,0.0035152766
19.0,19.0,0.51075125
20.0,20.0,0.71160376
21.0,21.0,0.036977608
22.0,22.0,0.10976687
23.0,23.0,0.015991256
24.0,24.0,0.00744591
25.0,25.0,0.44265166
26.0,26.0,0.019564416
27.0,27.0,0.1596442
28.0,28.0,0.1694641
29.0,29.0,0.4069123
30.0,30.0,0.59269154
31.0,31.0,0.006044342
32.0,32.0,0.055250388
33.0,33.0,0.027184725
34.0,34.0,0.0020174566
35.0,35.0,0.007405735
36.0,36.0,0.002154973
37.0,37.0,0.45994508
38.0,38.0,0.41690287
39.0,39.0,0.7628227
40.0,40.0,0.14208801
41.0,41.0,0.0011912998
42.0,42.0,0.7255546
43.0,43.0,0.16420679
44.0,44.0,0.08361582
45.0,45.0,0.64362353
46.0,46.0,0.6137049
47.0,47.0,0.11794442
48.0,48.0,0.0036039564
49.0,49.0,0.0022754853
50.0,50.0,0.64915097
51.0,51.0,0.85524064
52.0,52.0,0.008720009
53.0,53.0,0.011842287
54.0,54.0,0.841845
55.0,55.0,0.40065426
56.0,56.0,0.17719278
57.0,57.0,0.00477896
58.0,58.0,0.05073272
59.0,59.0,0.0010122659
60.0,60.0,0.11784542
61.0,61.0,0.0015513041
62.0,62.0,3.3360964E-4
63.0,63.0,0.29221052
64.0,64.0,0.535304
65.0,65.0,0.50672036
66.0,66.0,0.11393851
67.0,67.0,0.09926201
68.0,68.0,0.60149246
69.0,69.0,0.08975192
70.0,70.0,0.016689494
71.0,71.0,0.6285466
72.0,72.0,0.5760953
73.0,73.0,0.017209701
74.0,74.0,0.62327516
75.0,75.0,0.65010226
76.0,76.0,1.7892513E-4
77.0,77.0,0.02856343
78.0,78.0,0.004599065
79.0,79.0,0.5808095
80.0,80.0,0.028487297
81.0,81.0,0.008197933
82.0,82.0,0.5382472
83.0,83.0,0.40920064
84.0,84.0,0.07940747
85.0,85.0,0.38576868
86.0,86.0,0.004184707
87.0,87.0,0.035236083
88.0,88.0,0.037845574
89.0,89.0,0.9466512
90.0,90.0,0.0061154766
91.0,91.0,0.7117663
92.0,92.0,0.010339631
93.0,93.0,0.74209946
94.0,94.0,0.11378277
95.0,95.0,0.84953725
96.0,96.0,0.5287514
97.0,97.0,0.29067189
98.0,98.0,0.004330576
99.0,99.0,0.025390172
100.0,100.0,0.3192273
101.0,101.0,0.0017688988
102.0,102.0,0.6140944
103.0,103.0,0.020529574
104.0,104.0,0.16946067
105.0,105.0,0.0019083337
106.0,106.0,0.013117487
107.0,107.0,0.25310537
108.0,108.0,0.43503502
109.0,109.0,0.13359393
110.0,110.0,0.06999864
111.0,111.0,0.4551233
112.0,112.0,0.402551
113.0,113.0,0.80286914
114.0,114.0,0.44164523
115.0,115.0,6.7385286E-4
116.0,116.0,0.038376693
117.0,117.0,0.029116288
118.0,118.0,0.0152393645
119.0,119.0,0.011112707
120.0,120.0,0.66484535
121.0,121.0,0.5669278
122.0,122.0,0.48429486
123.0,123.0,0.712949
124.0,124.0,0.013659125
125.0,125.0,0.11038888
126.0,126.0,0.58695996
127.0,127.0,0.0056719817
128.0,128.0,0.03363346
129.0,129.0,0.09091141
130.0,130.0,0.010767594
131.0,131.0,0.20670891
132.0,132.0,0.0021750308
133.0,133.0,0.8116313
134.0,134.0,0.23257816
135.0,135.0,0.32634172
136.0,136.0,0.012283599
137.0,137.0,0.006674636
138.0,138.0,0.23563659
139.0,139.0,0.9162256
140.0,140.0,0.39251685
141.0,141.0,0.0027985706
142.0,142.0,0.021343285
143.0,143.0,0.77803624
144.0,144.0,0.011409102
145.0,145.0,0.023721904
146.0,146.0,1.340496E-4
147.0,147.0,0.0058190846
148.0,148.0,0.0039159553
149.0,149.0,0.15518646
150.0,150.0,0.6498251
151.0,151.0,0.041234512
152.0,152.0,0.0016543034
153.0,153.0,0.0017739253
154.0,154.0,0.4128696
155.0,155.0,0.46447173
156.0,156.0,0.47805986
157.0,157.0,0.09311792
158.0,158.0,0.30713293
159.0,159.0,0.011357681
160.0,160.0,0.030304484
161.0,161.0,0.053762313
162.0,162.0,0.6183359
163.0,163.0,0.0049415366
164.0,164.0,0.9484057
165.0,165.0,0.69834054
166.0,166.0,0.007241859
167.0,167.0,0.75455546
168.0,168.0,0.3267629
169.0,169.0,0.020783763
170.0,170.0,0.004473991
171.0,171.0,0.006593325
172.0,172.0,0.012164277
173.0,173.0,0.14967339
174.0,174.0,0.074419096
175.0,175.0,0.30320728
176.0,176.0,0.010746511
177.0,177.0,0.022816285
178.0,178.0,0.5852679
179.0,179.0,0.09135223
180.0,180.0,0.046057623
181.0,181.0,0.0015917512
182.0,182.0,0.764324
183.0,183.0,0.10777584
